entrez	cid	symbol	score
58499	1	ZNF462	4.0
81704	1	DOCK8	3.0
4643	1	MYO1E	4.0
1524	1	CX3CR1	4.0
154	1	ADRB2	4.0
1803	1	DPP4	4.0
1644	1	DDC	4.0
23303	1	KIF13B	4.0
91584	1	PLXNA4	3.0
93986	1	FOXP2	3.0
9915	1	ARNT2	4.0
3690	1	ITGB3	3.0
51760	1	SYT17	4.0
79937	1	CNTNAP3	4.0
23236	1	PLCB1	3.0
58512	1	DLGAP3	4.0
7102	1	TSPAN7	4.0
93664	1	CADPS2	4.0
22981	1	NINL	3.0
275	1	AMT	3.0
57578	1	UNC79	3.0
56137	1	PCDHA12	4.0
5787	1	PTPRB	4.0
56147	1	PCDHA1	4.0
8404	1	SPARCL1	3.0
57520	1	HECW2	3.0
2562	1	GABRB3	2.0
7704	1	ZBTB16	4.0
27071	1	DAPP1	3.0
2904	1	GRIN2B	1.0
322	1	APBB1	3.0
79623	1	GALNT14	4.0
83481	1	EPPK1	4.0
683	1	BST1	4.0
952	1	CD38	4.0
55799	1	CACNA2D3	2.0
135	2	ADORA2A	4.0
89839	2	ARHGAP11B	4.0
1006	2	CDH8	4.0
392862	2	GRID2IP	4.0
56140	2	PCDHA8	4.0
1007	2	CDH9	4.0
119772	2	OR52M1	3.0
343413	2	FCRL6	4.0
1008	2	CDH10	4.0
4916	2	NTRK3	4.0
10089	2	KCNK7	4.0
117583	2	PARD3B	3.0
6616	2	SNAP25	4.0
1012	2	CDH13	3.0
56136	2	PCDHA13	4.0
56138	2	PCDHA11	4.0
10349	2	ABCA10	4.0
339145	2	FAM92B	3.0
158724	2	FAM47A	4.0
349075	2	ZNF713	4.0
5020	2	OXT	4.0
5350	2	PLN	4.0
56134	2	PCDHAC2	4.0
60677	2	CELF6	4.0
7273	2	TTN	4.0
80816	2	ASXL3	1.0
814	2	CAMK4	4.0
8913	2	CACNA1G	4.0
9256	2	TSPOAP1	4.0
10518	2	CIB2	3.0
10743	2	RAI1	3.0
56141	2	PCDHA7	4.0
56144	2	PCDHA4	4.0
8831	2	SYNGAP1	1.0
11069	2	RAPGEF4	4.0
11122	2	PTPRT	4.0
491	2	ATP2B2	3.0
57497	2	LRFN2	4.0
84465	2	MEGF11	4.0
11141	2	IL1RAPL1	4.0
2901	2	GRIK5	3.0
1131	2	CHRM3	4.0
114805	2	GALNT13	4.0
2898	2	GRIK2	3.0
116442	2	RAB39B	4.0
5026	2	P2RX5	3.0
148398	2	SAMD11	4.0
1804	2	DPP6	4.0
2894	2	GRID1	3.0
2899	2	GRIK3	4.0
3752	2	KCND3	4.0
4036	2	LRP2	4.0
9568	2	GABBR2	4.0
129684	2	CNTNAP5	4.0
1584	2	CYP11B1	4.0
26245	2	OR2M4	4.0
27245	2	AHDC1	3.0
27443	2	CECR2	4.0
29119	2	CTNNA3	4.0
56146	2	PCDHA2	4.0
57194	2	ATP10A	3.0
59269	2	HIVEP3	3.0
8632	2	DNAH17	4.0
9378	2	NRXN1	2.0
1268	2	CNR1	3.0
85445	2	CNTNAP4	3.0
127069	2	OR2T10	4.0
54715	2	RBFOX1	3.0
128853	2	DUSP15	4.0
145581	2	LRFN5	4.0
3785	2	KCNQ2	3.0
4308	2	TRPM1	3.0
54768	2	HYDIN	4.0
553	2	AVPR1B	4.0
777	2	CACNA1E	3.0
8128	2	ST8SIA2	3.0
8618	2	CADPS	4.0
79648	2	MCPH1	4.0
1813	2	DRD2	4.0
139411	2	PTCHD1	2.0
6804	2	STX1A	4.0
196385	2	DNAH10	4.0
2903	2	GRIN2A	3.0
56899	2	ANKS1B	4.0
4139	2	MARK1	4.0
148979	2	GLIS1	4.0
149628	2	PYHIN1	3.0
9615	2	GDA	4.0
152330	2	CNTN4	2.0
55217	2	TMLHE	3.0
158800	2	RHOXF1	4.0
2861	2	GPR37	4.0
57502	2	NLGN4X	3.0
168400	2	DDX53	4.0
353288	2	KRT26	4.0
170572	2	HTR3C	4.0
1747	2	DLX3	3.0
1750	2	DLX6	4.0
3359	2	HTR3A	4.0
1826	2	DSCAM	1.0
186	2	AGTR2	4.0
54413	2	NLGN3	2.0
2020	2	EN2	4.0
202559	2	KHDRBS2	4.0
2100	2	ESR2	4.0
83473	2	KATNAL2	1.0
2243	2	FGA	4.0
392636	2	AGMO	4.0
2272	2	FHIT	4.0
22854	2	NTNG1	4.0
22866	2	CNKSR2	3.0
22871	2	NLGN1	3.0
23145	2	SSPO	4.0
9228	2	DLGAP2	4.0
9229	2	DLGAP1	3.0
54898	2	ELOVL2	4.0
22999	2	RIMS1	2.0
23025	2	UNC13A	4.0
23026	2	MYO16	4.0
23040	2	MYT1L	1.0
5079	2	PAX5	3.0
776	2	CACNA1D	2.0
6092	2	ROBO2	3.0
64478	2	CSMD1	4.0
23316	2	CUX2	4.0
2334	2	AFF2	4.0
57575	2	PCDH10	4.0
23426	2	GRIP1	2.0
340267	2	COL28A1	4.0
253559	2	CADM2	4.0
254827	2	NAALADL2	4.0
2557	2	GABRA4	4.0
2567	2	GABRG3	3.0
26280	2	IL1RAPL2	4.0
27328	2	PCDH11X	4.0
2742	2	GLRA2	4.0
51725	2	FBXO40	4.0
285175	2	UNC80	4.0
3766	2	KCNJ10	3.0
3790	2	KCNS3	3.0
2895	2	GRID2	4.0
2902	2	GRIN1	3.0
43	2	ACHE	3.0
2917	2	GRM7	4.0
2977	2	GUCY1A2	4.0
30010	2	NXPH1	4.0
3290	2	HSD11B1	4.0
563	2	AZGP1	4.0
6000	2	RGS7	4.0
6323	2	SCN1A	3.0
64101	2	LRRC4	4.0
6999	2	TDO2	4.0
340385	2	ZNF517	4.0
55079	2	FEZF2	4.0
340533	2	NEXMIF	3.0
3786	2	KCNQ3	3.0
4010	2	LMX1B	3.0
6854	2	SYN2	4.0
8537	2	BCAS1	4.0
9752	2	PCDHA9	4.0
6532	2	SLC6A4	4.0
84152	2	PPP1R1B	4.0
3742	2	GALNT8	3.0
3746	2	KCNC1	4.0
5444	2	PON1	3.0
5649	2	RELN	1.0
3952	2	LEP	4.0
4129	2	MAOB	4.0
478	2	ATP1A3	4.0
53942	2	CNTN5	3.0
55359	2	STYK1	4.0
56139	2	PCDHA10	4.0
57471	2	ERMN	4.0
642636	2	RAD21L1	4.0
6853	2	SYN1	4.0
7429	2	VIL1	3.0
83552	2	MFRP	3.0
5013	2	OTX1	4.0
438	2	ASMT	4.0
4585	2	MUC4	4.0
5067	2	CNTN3	4.0
5071	2	PRKN	3.0
50944	2	SHANK1	3.0
56135	2	PCDHAC1	4.0
5133	2	PDCD1	4.0
5137	2	PDE1C	4.0
54329	2	GPR85	4.0
54551	2	MAGEL2	2.0
54714	2	CNGB3	4.0
56142	2	PCDHA6	4.0
56143	2	PCDHA5	4.0
5625	2	PRODH	3.0
7225	2	TRPC6	3.0
84623	2	KIRREL3	3.0
57282	2	SLC4A10	4.0
57468	2	SLC12A5	3.0
6694	2	SPP2	4.0
57628	2	DPP10	3.0
5991	2	RFX3	4.0
83538	2	TTC25	4.0
6335	2	SCN9A	2.0
6473	2	SHOX	3.0
65267	2	WNK3	4.0
6899	2	TBX1	4.0
84332	2	DYDC2	4.0
84466	2	MEGF10	4.0
1454	3	CSNK1E	4.0
1523	3	CUX1	2.0
4650	3	MYO9B	3.0
5528	3	PPP2R5D	4.0
6535	3	SLC6A8	4.0
25942	3	SIN3A	4.0
3265	3	HRAS	4.0
5253	3	PHF2	3.0
54584	3	GNB1L	4.0
57680	3	CHD8	1.0
6601	3	SMARCC2	2.0
6878	3	TAF6	3.0
6907	3	TBL1X	4.0
7249	3	TSC2	3.0
84433	3	CARD11	4.0
7067	3	THRA	4.0
124565	3	SLC38A10	3.0
5862	3	RAB2A	3.0
9820	3	CUL7	3.0
1857	3	DVL3	4.0
473	3	RERE	4.0
57634	3	EP400	3.0
83692	3	CD99L2	4.0
10295	3	BCKDK	2.0
26262	3	TSPAN17	4.0
3069	3	HDLBP	4.0
2778	3	GNAS	4.0
10999	3	SLC27A4	4.0
27044	3	SND1	4.0
27352	3	SGSM3	4.0
5119	3	CHMP1A	3.0
6134	3	RPL10	4.0
6305	3	SBF1	3.0
7328	3	UBE2H	4.0
79143	3	MBOAT7	2.0
80790	3	CMIP	4.0
83696	3	TRAPPC9	3.0
84231	3	TRAF7	4.0
10347	3	ABCA7	4.0
1107	3	CHD3	4.0
57661	3	PHRF1	3.0
64405	3	CDH22	4.0
9013	3	TAF1C	4.0
112939	3	NACC1	4.0
23476	3	BRD4	4.0
4152	3	MBD1	4.0
9869	3	SETDB1	4.0
10522	3	DEAF1	2.0
253980	3	KCTD13	4.0
643338	3	C15orf62	4.0
7014	3	TERF2	3.0
10585	3	POMT1	4.0
11336	3	EXOC3	4.0
79813	3	EHMT1	3.0
1778	3	DYNC1H1	3.0
23030	3	KDM4B	4.0
23135	3	KDM6B	3.0
29123	3	ANKRD11	2.0
4335	3	MNT	4.0
55209	3	SETD5	1.0
57492	3	ARID1B	1.0
84445	3	LZTS2	4.0
9578	3	CDC42BPB	3.0
10847	3	SRCAP	2.0
222962	3	SLC29A4	4.0
23152	3	CIC	2.0
4520	3	MTF1	4.0
4849	3	CNOT3	2.0
5364	3	PLXNB1	3.0
54862	3	CC2D1A	3.0
55558	3	PLXNA3	4.0
5595	3	MAPK3	4.0
56853	3	CELF4	3.0
64599	3	GIGYF1	3.0
8216	3	LZTR1	3.0
83855	3	KLF16	4.0
9344	3	TAOK2	2.0
9572	3	NR1D1	4.0
95681	3	CEP41	2.0
54897	3	CASZ1	3.0
342132	3	ZNF774	4.0
81	3	ACTN4	4.0
161357	3	MDGA2	4.0
80381	3	CD276	4.0
8911	3	CACNA1I	4.0
1139	3	CHRNA7	3.0
57555	3	NLGN2	4.0
51107	3	APH1A	3.0
116986	3	AGAP2	3.0
8912	3	CACNA1H	2.0
1746	3	DLX2	4.0
339122	3	RAB43	3.0
23096	3	IQSEC2	4.0
5307	3	PITX1	4.0
55567	3	DNAH3	4.0
23067	3	SETD1B	4.0
26056	3	RAB11FIP5	4.0
26470	3	SEZ6L2	4.0
5164	3	PDK2	4.0
92737	3	DNER	4.0
92558	3	BICDL1	4.0
1788	3	DNMT3A	3.0
23293	3	SMG6	4.0
84871	3	AGBL4	4.0
2944	3	GSTM1	4.0
8242	3	KDM5C	3.0
6942	3	TCF20	2.0
26523	3	AGO1	3.0
4524	3	MTHFR	4.0
440193	3	CCDC88C	4.0
2900	3	GRIK4	4.0
8940	3	TOP3B	4.0
6529	3	SLC6A1	2.0
9379	3	NRXN2	4.0
64130	3	LIN7B	4.0
23389	4	MED13L	2.0
57534	4	MIB1	4.0
6197	4	RPS6KA3	4.0
7994	4	KAT6A	3.0
83852	4	SETDB2	4.0
221035	4	REEP3	4.0
4297	4	KMT2A	1.0
5062	4	PAK2	3.0
51366	4	UBR5	3.0
51592	4	TRIM33	4.0
6683	4	SPAST	2.0
79718	4	TBL1XR1	2.0
8295	4	TRRAP	4.0
9295	4	SRSF11	2.0
9969	4	MED13	2.0
10771	4	ZMYND11	3.0
10765	4	KDM5B	2.0
11011	4	TLK2	4.0
113201	4	CASC4	4.0
23001	4	WDFY3	2.0
23312	4	DMXL2	4.0
394	4	ARHGAP5	4.0
4089	4	SMAD4	3.0
546	4	ATRX	4.0
5728	4	PTEN	1.0
10142	4	AKAP9	3.0
1105	4	CHD1	4.0
152006	4	RNF38	4.0
1654	4	DDX3X	2.0
1739	4	DLG1	4.0
1859	4	DYRK1A	1.0
2033	4	EP300	4.0
221037	4	JMJD1C	4.0
22909	4	FAN1	4.0
23013	4	SPEN	3.0
23036	4	ZNF292	4.0
23081	4	KDM4C	3.0
23112	4	TNRC6B	2.0
23126	4	POGZ	1.0
23167	4	EFR3A	3.0
23181	4	DIP2A	3.0
23394	4	ADNP	1.0
23451	4	SF3B1	4.0
23469	4	PHF3	2.0
254048	4	UBN2	2.0
254170	4	FBXO33	4.0
283450	4	HECTD4	3.0
29072	4	SETD2	3.0
29994	4	BAZ2B	2.0
3188	4	HNRNPH2	4.0
4204	4	MECP2	2.0
4698	4	NDUFA5	4.0
51111	4	KMT5B	1.0
51322	4	WAC	2.0
54536	4	EXOC6	4.0
55015	4	PRPF39	4.0
55023	4	PHIP	3.0
55297	4	CCDC91	4.0
55870	4	ASH1L	1.0
55914	4	ERBIN	2.0
57148	4	RALGAPB	3.0
57448	4	BIRC6	4.0
58155	4	PTBP2	4.0
58508	4	KMT2C	2.0
64848	4	YTHDC2	4.0
64895	4	PAPOLG	4.0
7403	4	KDM6A	2.0
79684	4	MSANTD2	4.0
79893	4	GGNBP2	3.0
80204	4	FBXO11	4.0
80315	4	CPEB4	3.0
8452	4	CUL3	1.0
8481	4	OFD1	4.0
8493	4	PPM1D	4.0
8500	4	PPFIA1	4.0
8850	4	KAT2B	2.0
8867	4	SYNJ1	4.0
9044	4	BTAF1	3.0
9320	4	TRIP12	1.0
9611	4	NCOR1	2.0
987	4	LRBA	4.0
9958	4	USP15	2.0
10640	4	EXOC5	4.0
134957	4	STXBP5	3.0
123606	4	NIPA1	4.0
80184	4	CEP290	4.0
8864	4	PER2	3.0
10787	4	NCKAP1	2.0
26122	4	EPC2	4.0
26512	4	INTS6	2.0
3720	4	JARID2	3.0
51317	4	PHF21A	4.0
55904	4	KMT2E	3.0
23332	4	CLASP1	3.0
54439	4	RBM27	3.0
54790	4	TET2	3.0
84527	4	ZNF559	4.0
26058	4	GIGYF2	2.0
192669	4	AGO3	4.0
585	4	BBS4	4.0
56946	4	EMSY	3.0
23233	4	EXOC6B	4.0
23545	4	ATP6V0A2	4.0
1106	4	CHD2	1.0
114785	4	MBD6	4.0
147694	4	ZNF548	4.0
9481	4	SLC25A27	4.0
55777	4	MBD5	3.0
192670	4	AGO4	3.0
151126	4	ZNF385B	4.0
55356	4	SLC22A15	4.0
9662	4	CEP135	3.0
2444	4	FRK	4.0
